Subject Number,Gender,Age
1,1,27
10,1,37
11,1,29
12,0,25
13,0,31
14,0,28
15,0,25
16,0,24
17,0,18
18,0,26
19,0,26
20,1,28
21,0,24
22,0,29
23,0,33
24,0,26
25,0,31
26,0,22
27,0,27
28,1,25
29,1,23
30,1,23
31,0,23
32,0,30
33,0,28
34,0,29
35,0,19
36,0,25
37,1,35
38,0,25
39,1,38
40,0,32
41,0,30
42,0,20
43,0,36
44,0,23
45,0,29
46,0,27
47,0,41
48,1,28
49,0,20
50,1,24
51,0,23
52,0,19
53,1,28
54,1,39
56,0,42
57,1,31
58,0,26
59,1,27
60,0,32
61,0,39
62,0,33
63,0,28
64,1,28
65,0,29
66,0,24
67,1,28
68,1,30
69,1,20
70,1,24
71,0,23
72,0,19
73,1,30
74,0,22
75,0,40
76,0,28
77,1,39
78,0,30
79,0,24
80,0,24
81,0,29
82,0,26
83,0,22
84,0,19
85,1,36
86,1,35
87,1,19
88,0,42
89,0,35
90,0,32
91,1,30
92,0,27
93,1,21
94,0,39
95,1,26
96,0,33
97,1,22
98,1,33
99,1,33
100,1,31
101,1,29
102,0,38
103,1,21
104,0,24
105,1,31
106,0,27
107,0,23
108,1,25
109,1,22
110,0,34
111,0,27
112,1,27
