seed,keep_signals,n_signals,test_acc,test_bal_acc,test_f1,test_roc_auc,test_avg_precision,final_train_acc,final_val_acc
1,"('ECG_mV',)",1,0.5873015873015873,0.5411324786324787,0.390625,0.5922364672364673,0.39858946308084275,0.6888888888888889,0.5555555555555556
2,"('ECG_mV',)",1,0.6666666666666666,0.594551282051282,0.4,0.6866096866096866,0.6174929394066392,0.7094017094017094,0.7058823529411765
3,"('ECG_mV',)",1,0.5978835978835979,0.579059829059829,0.4864864864864865,0.5855887939221273,0.3963209087462922,0.6905982905982906,0.7516339869281046
4,"('ECG_mV',)",1,0.43386243386243384,0.39850427350427353,0.2517482517482518,0.4306742640075974,0.31946292632161283,0.7692307692307693,0.6143790849673203
5,"('ECG_mV',)",1,0.4497354497354497,0.4487179487179487,0.38095238095238093,0.4628442545109211,0.3919103074283845,0.7111111111111111,0.5947712418300654
1,"('Fingerpulse',)",1,0.5873015873015873,0.5357905982905983,0.3709677419354839,0.6914767331433999,0.5212353564074399,0.6615384615384615,0.5751633986928104
2,"('Fingerpulse',)",1,0.544973544973545,0.6324786324786325,0.6260869565217392,0.7911918328584996,0.6388064084597053,0.6444444444444445,0.6405228758169934
3,"('Fingerpulse',)",1,0.5132275132275133,0.5213675213675214,0.46511627906976744,0.6052943969610636,0.4766014089664836,0.6666666666666666,0.6339869281045751
4,"('Fingerpulse',)",1,0.6296296296296297,0.6367521367521367,0.5783132530120482,0.7222222222222222,0.5637502077070914,0.6341880341880342,0.5686274509803921
5,"('Fingerpulse',)",1,0.38095238095238093,0.5,0.5517241379310345,0.6417378917378918,0.5214590858892474,0.67008547008547,0.5490196078431373
1,"('Cannula',)",1,0.6296296296296297,0.5806623931623931,0.43548387096774194,0.6188271604938271,0.5918215637612366,0.7282051282051282,0.6862745098039216
2,"('Cannula',)",1,0.6825396825396826,0.6314102564102564,0.5,0.735042735042735,0.6395676164076214,0.7128205128205128,0.6078431372549019
3,"('Cannula',)",1,0.6031746031746031,0.5966880341880342,0.5222929936305732,0.6784188034188035,0.5583547501667625,0.7008547008547008,0.7973856209150327
4,"('Cannula',)",1,0.7407407407407407,0.7451923076923077,0.6918238993710691,0.8890075973409306,0.8899547976551525,0.5982905982905983,0.8366013071895425
5,"('Cannula',)",1,0.6613756613756614,0.625,0.5151515151515151,0.7172364672364673,0.6407114503155016,0.6752136752136753,0.6339869281045751
1,"('Thermopod',)",1,0.5238095238095238,0.5032051282051282,0.4,0.5303893637226971,0.3857967425482373,0.5572649572649573,0.6535947712418301
2,"('Thermopod',)",1,0.6455026455026455,0.6175213675213675,0.5179856115107914,0.5906932573599241,0.5400951882412052,0.5230769230769231,0.5751633986928104
3,"('Thermopod',)",1,0.5555555555555556,0.5608974358974359,0.5,0.566358024691358,0.39451567538229576,0.6273504273504273,0.5228758169934641
4,"('Thermopod',)",1,0.455026455026455,0.36752136752136755,0.0,0.2781339031339032,0.2730762009535672,0.49401709401709404,0.35947712418300654
5,"('Thermopod',)",1,0.6349206349206349,0.6597222222222222,0.6145251396648045,0.6660731244064577,0.5916263806319919,0.5606837606837607,0.5686274509803921
1,"('ECG_mV', 'Fingerpulse')",2,0.5767195767195767,0.6581196581196581,0.6428571428571429,0.6944444444444444,0.5233176856384433,0.7316239316239316,0.46405228758169936
2,"('ECG_mV', 'Fingerpulse')",2,0.38095238095238093,0.5,0.5517241379310345,0.7718423551756884,0.6329104107107114,0.694017094017094,0.6274509803921569
3,"('ECG_mV', 'Fingerpulse')",2,0.582010582010582,0.5876068376068376,0.5269461077844312,0.6396011396011396,0.5014510161723693,0.7555555555555555,0.6143790849673203
4,"('ECG_mV', 'Fingerpulse')",2,0.6613756613756614,0.6517094017094017,0.5789473684210527,0.5934235517568851,0.6070442715320856,0.7811965811965812,0.5882352941176471
5,"('ECG_mV', 'Fingerpulse')",2,0.6402116402116402,0.5651709401709402,0.34615384615384615,0.6092117758784426,0.5179326534243726,0.8512820512820513,0.6078431372549019
1,"('ECG_mV', 'Cannula')",2,0.6931216931216931,0.6319444444444444,0.48214285714285715,0.6032763532763532,0.6057250068043509,0.6888888888888889,0.7450980392156863
2,"('ECG_mV', 'Cannula')",2,0.746031746031746,0.7361111111111112,0.6756756756756757,0.8000949667616334,0.7142678246925774,0.7401709401709402,0.673202614379085
3,"('ECG_mV', 'Cannula')",2,0.6772486772486772,0.7019230769230769,0.655367231638418,0.6977682811016144,0.5062659980936095,0.7230769230769231,0.7647058823529411
4,"('ECG_mV', 'Cannula')",2,0.5079365079365079,0.5224358974358975,0.4745762711864407,0.483974358974359,0.36174591703795034,0.7401709401709402,0.738562091503268
5,"('ECG_mV', 'Cannula')",2,0.6137566137566137,0.5678418803418803,0.4251968503937008,0.6052943969610636,0.49812138559933944,0.7418803418803419,0.738562091503268
1,"('ECG_mV', 'Thermopod')",2,0.6296296296296297,0.5913461538461539,0.4696969696969697,0.6244064577397911,0.43148367433860035,0.6888888888888889,0.5620915032679739
2,"('ECG_mV', 'Thermopod')",2,0.6878306878306878,0.608974358974359,0.40404040404040403,0.5214862298195632,0.5595545428714885,0.7264957264957265,0.673202614379085
3,"('ECG_mV', 'Thermopod')",2,0.5396825396825397,0.5347222222222222,0.45962732919254656,0.5566239316239316,0.37381305575933454,0.6376068376068376,0.5294117647058824
4,"('ECG_mV', 'Thermopod')",2,0.4021164021164021,0.40224358974358976,0.3391812865497076,0.3674026590693257,0.2979264687166986,0.7811965811965812,0.6470588235294118
